,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,fav
244,0.489,0.706,9.0,-9.445,0.048,0.0171,0.201,0.125,0.495,145.272,3.0,fav
245,0.575,0.854,11.0,-9.746,0.0405,0.000174,0.624,0.0884,0.574,149.314,4.0,fav
246,0.569,0.872,2.0,-7.566,0.0314,0.000254,0.144,0.283,0.661,95.16,4.0,fav
247,0.484,0.277,2.0,-13.421,0.0306,0.871,0.71,0.183,0.0369,116.046,5.0,fav
248,0.642,0.767,9.0,-8.648,0.0327,0.0439,0.00176,0.0874,0.662,113.3,4.0,fav
249,0.557,0.891,7.0,-7.894,0.0324,0.00173,0.202,0.316,0.603,109.978,4.0,fav
250,0.629,0.62,,-6.946,0.0309,0.000158,0.426,0.0626,0.464,119.254,4.0,fav
251,0.536,0.538,10.0,-9.254,0.0367,0.0393,0.00156,0.177,0.347,81.612,4.0,fav
252,0.529,0.66,6.0,-8.494,0.0302,0.0246,0.0318,0.206,0.647,132.246,3.0,fav
253,0.464,0.822,9.0,-4.442,0.032,0.201,0.00112,0.131,0.728,109.992,4.0,fav
254,0.645,0.591,9.0,-8.442,0.0297,0.229,0.000183,0.211,0.613,129.903,3.0,fav
255,0.279,0.772,,-8.083,0.0559,0.0034,0.0079,0.137,0.102,129.681,3.0,fav
256,0.605,0.619,9.0,-8.971,0.0261,0.423,0.313,0.0732,0.578,133.074,4.0,fav
257,0.527,0.779,9.0,-6.751,0.031,0.15,0.0868,0.115,0.785,152.804,4.0,fav
258,0.376,0.92,9.0,-7.438,0.0349,0.0288,0.0142,0.132,0.381,165.792,4.0,fav
259,0.623,0.251,,-11.215,0.0268,0.716,0.0214,0.103,0.165,112.474,4.0,fav
260,0.652,0.401,7.0,-10.671,0.031,0.811,0.000236,0.18,0.48,101.239,3.0,fav
261,0.619,0.427,10.0,-10.737,0.04,0.699,0.00238,0.0823,0.436,61.75,4.0,fav
262,0.576,0.595,3.0,-9.54,0.0289,0.301,0.0525,0.0665,0.659,85.087,4.0,fav
263,0.522,0.761,7.0,-7.032,0.0605,0.00206,0.000961,0.104,0.67,164.265,4.0,fav
264,0.527,0.677,5.0,-8.958,0.0301,0.238,0.546,0.645,0.464,99.322,4.0,fav
265,0.362,0.138,,-12.201,0.0421,0.847,0.000468,0.11,0.0752,79.425,3.0,fav
